,DISTRICT,SERVICE,SERVICEX,CTE_STUDENTS_2015,CTE_HOURS_2015,CTE_AVG_2015,ALL_STUDENTS_2015,ALL_HOURS_2015,ALL_AVG_2015,CTE_STUDENTS_2016,CTE_HOURS_2016,CTE_AVG_2016,ALL_STUDENTS_2016,ALL_HOURS_2016,ALL_AVG_2016,CTE_STUDENTS_2017,CTE_HOURS_2017,CTE_AVG_2017,ALL_STUDENTS_2017,ALL_HOURS_2017,ALL_AVG_2017,CTE_STUDENTS_2018,CTE_HOURS_2018,CTE_AVG_2018,ALL_STUDENTS_2018,ALL_HOURS_2018,ALL_AVG_2018
408,15830,3340100,US HISTORY STUDIES SINCE 1877,4,4,4.0,6,18,3.0,3,12,4.0,3,12,4.0,,,,,,,,,,,,
409,15830,3340400,WORLD HISTORY STUDIES (W HIST),3,12,4.0,3,3,3.0,6,6,6.0,6,6,6.0,,,,,,,,,,,,
410,15833,3101100,PRECALCULUS (PRE CALC),3,3,3.0,3,3,3.0,4.5,4.5,4.5,4.5,4.5,4.5,,,,,,,,,,,,
411,15833,3220300,ENGLISH III (ENG 3),6,6,6.0,5.3,5.3,5.3,,,,,,,,,,,,,,,,,,
412,15901,3220300,ENGLISH III (ENG 3),14,42,3.0,23,69,3.0,19,53,2.8,37,107,2.9,43,127,3.0,86,256,3.0,18,108,6.0,38,225,5.9
413,15901,3220400,ENGLISH IV (ENG 4),48,137,2.9,63,180,2.9,50,246,4.9,64,309,4.8,0,109,0.0,49,139,2.8,49,291,5.9,58,345,5.9
414,15901,A3100101,AP CALCULUS AB,2,2,2.0,2,2,2.0,,,,,,,,,,,,,,,,,,
415,15901,A3100102,AP CALCULUS BC,4,4,4.0,4,4,4.0,,,,,,,,,,,,,,,,,,
416,15901,A3100200,AP STATISTICS (APSTATS),7,14,2.0,10,20,2.0,4,4,4.0,4,4,4.0,,,,,,,,,,,,
417,15901,A3440100,AP LANG OTH THAN ENG LV 4 SPAN,3,3,3.0,6,18,3.0,5,10,2.0,17,49,2.9,6,18,3.0,16,48,3.0,,,,,,
418,15904,3101100,PRECALCULUS (PRE CALC),11,33,3.0,15,45,3.0,129,759,5.9,134,789,5.9,74,594,8.0,138,"1,005",7.3,96,597,6.2,133,840,6.3
419,15904,3152700,MUSIC I THEORY (MUS1THY),17,51,3.0,51,153,3.0,,,,,,,,,,,,,,,,,,
420,15904,3220300,ENGLISH III (ENG 3),49,291,5.9,57,339,5.9,181,975,5.4,188,"1,017",5.4,169,894,5.3,195,990,5.1,191,"1,023",5.4,221,"1,140",5.2
421,15904,3220400,ENGLISH IV (ENG 4),43,255,5.9,48,285,5.9,77,438,5.7,80,453,5.7,106,621,5.9,188,"1,458",7.8,97,657,6.8,171,"1,371",8.0
422,15904,3310300,ECONOMICS W/EMPH FREE ENTERPR,33,99,3.0,37,111,3.0,50,150,3.0,52,156,3.0,62,186,3.0,72,237,3.3,28,168,6.0,83,498,6.0
423,15904,3330100,UNITED STATES GOVERNMENT (GOVT,37,111,3.0,41,123,3.0,77,306,4.0,78,309,4.0,147,612,4.2,182,804,4.4,105,480,4.6,142,684,4.8
